Description,N,DE,P.DE,FDR,SigGenesInSet
Hepatitis C,155,0,1,1,
Hepatitis B,162,0,1,1,
Measles,135,0,1,1,
Influenza A,168,0,1,1,
Human papillomavirus infection,330,0,1,1,
Human T-cell leukemia virus 1 infection,220,0,1,1,
Herpes simplex virus 1 infection,176,0,1,1,
Epstein-Barr virus infection,201,0,1,1,
Transcriptional misregulation in cancer,193,0,1,1,
Viral carcinogenesis,193,0,1,1,
Chemical carcinogenesis - DNA adducts,70,0,1,1,
Chemical carcinogenesis - reactive oxygen species,211,0,1,1,
Colorectal cancer,86,0,1,1,
Renal cell carcinoma,68,0,1,1,
Pancreatic cancer,76,0,1,1,
Endometrial cancer,58,0,1,1,
Glioma,75,0,1,1,
Bladder cancer,41,0,1,1,
Chronic myeloid leukemia,76,0,1,1,
Acute myeloid leukemia,67,0,1,1,
Small cell lung cancer,92,0,1,1,
Non-small cell lung cancer,72,0,1,1,
Breast cancer,147,0,1,1,
Gastric cancer,149,0,1,1,
PD-L1 expression and PD-1 checkpoint pathway in cancer,89,0,1,1,
Autoimmune thyroid disease,51,0,1,1,
Systemic lupus erythematosus,122,0,1,1,
Rheumatoid arthritis,91,0,1,1,
Graft-versus-host disease,39,0,1,1,
Diabetic cardiomyopathy,189,0,1,1,
Lipid and atherosclerosis,215,0,1,1,
Fluid shear stress and atherosclerosis,141,0,1,1,
"Phenylalanine, tyrosine and tryptophan biosynthesis",6,0,1.0000000000000002,1,
"Neomycin, kanamycin and gentamicin biosynthesis",5,0,1.0000000000000002,1,
Virion - Human immunodeficiency virus,5,0,1.0000000000000002,1,
Virion - Flavivirus and Alphavirus,6,0,1.0000000000000002,1,
Cobalamin transport and metabolism,18,0,1.0000000000000002,1,
African trypanosomiasis,36,0,1.0000000000000002,1,
Galactose metabolism,31,0,1.0000000000000004,1,
Phenylalanine metabolism,16,0,1.0000000000000004,1,
Amino sugar and nucleotide sugar metabolism,38,0,1.0000000000000004,1,
Glycosaminoglycan biosynthesis - keratan sulfate,14,0,1.0000000000000004,1,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,0,1.0000000000000004,1,
Propanoate metabolism,32,0,1.0000000000000004,1,
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",12,0,1.0000000000000004,1,
Virion - Adenovirus,4,0,1.0000000000000004,1,
Primary immunodeficiency,36,0,1.0000000000000004,1,
beta-Alanine metabolism,31,0,1.0000000000000007,1,
Virion - Rotavirus,2,0,1.0000000000000007,1,
Mannose type O-glycan biosynthesis,23,0,1.0000000000000009,1,
Butanoate metabolism,27,0,1.0000000000000009,1,
Biosynthesis of nucleotide sugars,37,0,1.0000000000000009,1,
Virion - Herpesvirus,8,0,1.0000000000000009,1,
Primary bile acid biosynthesis,17,0,1.000000000000001,1,
Selenocompound metabolism,17,0,1.000000000000001,1,
