Description,N,DE,P.DE,FDR,SigGenesInSet
Aminoacyl-tRNA biosynthesis,43,0,1,1,
Metabolism of xenobiotics by cytochrome P450,77,0,1,1,
Drug metabolism - cytochrome P450,71,0,1,1,
Drug metabolism - other enzymes,82,0,1,1,
Carbon metabolism,116,0,1,1,
Fatty acid metabolism,56,0,1,1,
Biosynthesis of amino acids,74,0,1,1,
Nucleotide metabolism,83,0,1,1,
Biosynthesis of cofactors,154,0,1,1,
Biosynthesis of nucleotide sugars,37,0,1,1,
Endocrine resistance,96,0,1,1,BAD
ABC transporters,45,0,1,1,
Ribosome biogenesis in eukaryotes,76,0,1,1,
Ribosome,177,0,1,1,RPL34
Nucleocytoplasmic transport,107,0,1,1,
mRNA surveillance pathway,95,0,1,1,
RNA degradation,78,0,1,1,
Basal transcription factors,43,0,1,1,
DNA replication,36,0,1,1,
Spliceosome,150,0,1,1,SRSF5
ATP-dependent chromatin remodeling,115,0,1,1,
Polycomb repressive complex,83,0,1,1,
Viral life cycle - HIV-1,68,0,1,1,
Virion - Hepatitis viruses,48,0,1,1,
PPAR signaling pathway,76,0,1,1,
Base excision repair,44,0,1,1,
Nucleotide excision repair,62,0,1,1,
Homologous recombination,41,0,1,1,
Fanconi anemia pathway,53,0,1,1,
Viral protein interaction with cytokine and cytokine receptor,99,0,1,1,
Chemokine signaling pathway,192,0,1,1,BAD
NF-kappa B signaling pathway,104,0,1,1,
Sulfur relay system,8,0,1,1,
Autophagy - other,32,0,1,1,ATG4A
Protein processing in endoplasmic reticulum,171,0,1,1,
Peroxisome,83,0,1,1,
Efferocytosis,155,0,1,1,
AMPK signaling pathway,120,0,1,1,
Integrated stress response (ISR) signaling pathway,51,0,1,1,
Longevity regulating pathway,89,0,1,1,
Longevity regulating pathway - multiple species,61,0,1,1,
Ferroptosis,41,0,1,1,
Notch signaling pathway,62,0,1,1,
Apelin signaling pathway,139,0,1,1,
ECM-receptor interaction,89,0,1,1,
Cell adhesion molecule (CAM) interaction,155,0,1,1,
Integrin signaling,153,0,1,1,
Adherens junction,93,0,1,1,
Complement and coagulation cascades,88,0,1,1,
Platelet activation,125,0,1,1,
Renin-angiotensin system,23,0,1,1,
RIG-I-like receptor signaling pathway,72,0,1,1,
Cytosolic DNA-sensing pathway,82,0,1,1,
C-type lectin receptor signaling pathway,104,0,1,1,
IL-17 signaling pathway,93,0,1,1,
TNF signaling pathway,118,0,1,1,
Intestinal immune network for IgA production,46,0,1,1,
Synaptic vesicle cycle,78,0,1,1,
Olfactory transduction,407,0,1,1,
Taste transduction,85,0,1,1,
Insulin signaling pathway,139,0,1,1,BAD
Ovarian steroidogenesis,52,0,1,1,
Prolactin signaling pathway,70,0,1,1,
Adipocytokine signaling pathway,70,0,1,1,
Glucagon signaling pathway,105,0,1,1,
Regulation of lipolysis in adipocytes,58,0,1,1,
Alcoholic liver disease,143,0,1,1,
Vasopressin-regulated water reabsorption,44,0,1,1,
Fat digestion and absorption,43,0,1,1,
Bile secretion,89,0,1,1,
Mineral absorption,60,0,1,1,
Cholesterol metabolism,52,0,1,1,
Cocaine addiction,49,0,1,1,
Nicotine addiction,41,0,1,1,
Alcoholism,174,0,1,1,
Bacterial invasion of epithelial cells,77,0,1,1,
Epithelial cell signaling in Helicobacter pylori infection,70,0,1,1,
Pertussis,77,0,1,1,
Malaria,50,0,1,1,
Staphylococcus aureus infection,93,0,1,1,
Chemical carcinogenesis - DNA adducts,70,0,1,1,
Thyroid cancer,37,0,1,1,
Melanoma,72,0,1,1,BAD
Bladder cancer,41,0,1,1,
Chronic myeloid leukemia,76,0,1,1,BAD
Autoimmune thyroid disease,51,0,1,1,
Inflammatory bowel disease,64,0,1,1,
Systemic lupus erythematosus,122,0,1,1,
Rheumatoid arthritis,91,0,1,1,
Allograft rejection,36,0,1,1,
Graft-versus-host disease,39,0,1,1,
Primary immunodeficiency,36,0,1,1,CD3D
Fluid shear stress and atherosclerosis,141,0,1,1,
Steroid biosynthesis,20,0,1.0000000000000002,1,
Other glycan degradation,18,0,1.0000000000000002,1,HEXD
Pentose phosphate pathway,31,0,1.0000000000000004,1,
Galactose metabolism,31,0,1.0000000000000004,1,
Primary bile acid biosynthesis,17,0,1.0000000000000004,1,
"Valine, leucine and isoleucine biosynthesis",4,0,1.0000000000000004,1,
beta-Alanine metabolism,31,0,1.0000000000000004,1,
Nitrogen metabolism,17,0,1.0000000000000004,1,
Antifolate resistance,30,0,1.0000000000000004,1,
Protein export,31,0,1.0000000000000004,1,
Virion - Human immunodeficiency virus,5,0,1.0000000000000004,1,
Mismatch repair,23,0,1.0000000000000004,1,
Circadian rhythm,34,0,1.0000000000000004,1,
Maturity onset diabetes of the young,26,0,1.0000000000000004,1,
Virion - Lassa virus and SFTS virus,17,0,1.0000000000000007,1,
Phototransduction,28,0,1.0000000000000007,1,
Cobalamin transport and metabolism,18,0,1.0000000000000007,1,
Histidine metabolism,22,0,1.0000000000000009,1,
Glycosaminoglycan degradation,19,0,1.0000000000000009,1,
Glycosaminoglycan biosynthesis - keratan sulfate,14,0,1.0000000000000009,1,
Linoleic acid metabolism,30,0,1.0000000000000009,1,
Lipoic acid metabolism,19,0,1.0000000000000009,1,
Biosynthesis of unsaturated fatty acids,27,0,1.0000000000000009,1,
Virion - Rotavirus,2,0,1.0000000000000009,1,
Virion - Flavivirus and Alphavirus,6,0,1.000000000000001,1,
Ubiquinone and other terpenoid-quinone biosynthesis,12,0,1.0000000000000013,1,
Sulfur cycle,2,0,1.0000000000000013,1,
Virion - Adenovirus,4,0,1.0000000000000013,1,
Non-homologous end-joining,13,0,1.0000000000000013,1,
Hippo signaling pathway - multiple species,29,0,1.0000000000000013,1,
Butanoate metabolism,27,0,1.0000000000000016,1,
Fatty acid biosynthesis,17,0,1.0000000000000018,1,
Glycosphingolipid biosynthesis - ganglio series,15,0,1.0000000000000018,1,
Pantothenate and CoA biosynthesis,21,0,1.0000000000000018,1,
Sulfur metabolism,10,0,1.0000000000000018,1,
Proximal tubule bicarbonate reclamation,23,0,1.0000000000000018,1,
Folate transport and metabolism,30,0,1.0000000000000018,1,
Glyoxylate and dicarboxylate metabolism,31,0,1.0000000000000022,1,
Vitamin digestion and absorption,26,0,1.0000000000000027,1,
