Description,N,DE,P.DE,FDR,SigGenesInSet
Cobalamin transport and metabolism,18,0,0.9999999999999998,1,
Ubiquinone and other terpenoid-quinone biosynthesis,12,0,0.9999999999999999,1,
D-Amino acid metabolism,6,0,0.9999999999999999,1,
alpha-Linolenic acid metabolism,26,0,0.9999999999999999,1,
C5-Branched dibasic acid metabolism,2,0,0.9999999999999999,1,
2-Oxocarboxylic acid metabolism,33,0,0.9999999999999999,1,
Vitamin digestion and absorption,26,0,0.9999999999999999,1,
Glycolysis / Gluconeogenesis,67,0,1,1,
Pentose and glucuronate interconversions,37,0,1,1,
Fructose and mannose metabolism,36,0,1,1,
Galactose metabolism,31,0,1,1,
Fatty acid degradation,43,0,1,1,
Steroid hormone biosynthesis,65,0,1,1,
Oxidative phosphorylation,122,0,1,1,
Arginine biosynthesis,23,0,1,1,
Pyrimidine metabolism,57,0,1,1,
"Alanine, aspartate and glutamate metabolism",37,0,1,1,
"Glycine, serine and threonine metabolism",39,0,1,1,
Cysteine and methionine metabolism,52,0,1,1,
"Valine, leucine and isoleucine degradation",48,0,1,1,
Arginine and proline metabolism,50,0,1,1,
Tyrosine metabolism,36,0,1,1,
Tryptophan metabolism,41,0,1,1,
Phosphonate and phosphinate metabolism,6,0,1,1,
Glutathione metabolism,58,0,1,1,
Starch and sucrose metabolism,35,0,1,1,
N-Glycan biosynthesis,55,0,1,1,
Mannose type O-glycan biosynthesis,23,0,1,1,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,30,0,1,1,
Glycerophospholipid metabolism,102,0,1,1,
Ether lipid metabolism,51,0,1,1,
Arachidonic acid metabolism,62,0,1,1,
Pyruvate metabolism,49,0,1,1,
One carbon pool by folate,37,0,1,1,
Nicotinate and nicotinamide metabolism,37,0,1,1,
Retinol metabolism,69,0,1,1,
Aminoacyl-tRNA biosynthesis,43,0,1,1,
Metabolism of xenobiotics by cytochrome P450,77,0,1,1,
Drug metabolism - other enzymes,82,0,1,1,
Carbon metabolism,116,0,1,1,
Biosynthesis of amino acids,74,0,1,1,
Nucleotide metabolism,83,0,1,1,
Biosynthesis of nucleotide sugars,37,0,1,1,
Endocrine resistance,96,0,1,1,RB1
Platinum drug resistance,74,0,1,1,
ABC transporters,45,0,1,1,
Ribosome biogenesis in eukaryotes,76,0,1,1,
Ribosome,177,0,1,1,
mRNA surveillance pathway,95,0,1,1,
RNA degradation,78,0,1,1,
RNA polymerase,34,0,1,1,
Basal transcription factors,43,0,1,1,
DNA replication,36,0,1,1,
Spliceosome,150,0,1,1,
ATP-dependent chromatin remodeling,115,0,1,1,
Polycomb repressive complex,83,0,1,1,
