ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
MF,glycosylceramide flippase activity,3,1,0.04267883032210789,1,ATP10B
MF,pyruvate transmembrane transporter activity,6,1,0.04269303019259849,1,SLC16A3
BP,positive regulation of protein neddylation,5,1,0.04274013924713875,1,DCUN1D2
BP,regulation of CD40 signaling pathway,6,1,0.04286112399942475,1,TREM2
MF,voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels,4,1,0.04304294041103885,1,CACNB2
MF,voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels,4,1,0.04304294041103885,1,CACNB2
BP,regulation of DNA-templated transcription in response to stress,39,2,0.04305644978608258,1,"RPS6KA1,NCK2,BAG3"
MF,lactate transmembrane transporter activity,6,1,0.043261304266632265,1,SLC16A3
BP,actin polymerization or depolymerization,194,5,0.04339615903860896,1,"PLEKHH2,HCK,VIL1,NCK2,SCIN"
BP,negative regulation of lipoprotein lipase activity,8,1,0.04339885971150779,1,HDAC9
